,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
23,Osphronemus exodon,external,nesters,NA,"Builds a small nest, made of leaves and roots of a plant named ""gohk kai"" in Takam, just below the Lee Pee Waterfalls in southern Laos. Eggs and young are guarded by one parent as observed in the Mekong basin at Stung Treng.",n
24,Osphronemus goramy,external,nesters,NA,"Makes nests of bubbles in which the eggs and larvae float, protected by the male (Ref. 9987).",n
25,Parasphaerichthys lineatus,external,nesters,NA,"In captivity, the male predominantly picks up the released egss from the bottom of the tank and stores them in a nest built beneath a projecting corner of a small stone.  The nest has a number of small air bubbles and several dozen eggs that together formed a compact mass that adhered to the stone (Ref. 47277).",n
26,Parosphromenus deissneri,external,clutch tenders,NA,Male protects eggs inside caves.,n
27,Parosphromenus filamentosus,external,nesters,NA,Male builds bubble nest. ,n
28,Parosphromenus paludicola,external,nesters,NA,Eggs shrink to the bottom and were then collected by one or both parents and were embedded among the foam bubbles in the nest (Ref. 41595).,n
29,Parosphromenus parvulus,external,nesters,NA,NA,n
30,Pseudosphromenus cupanus,external,nesters,NA,"Builds a bubble nest. Male gathers the eggs in his mouth and spits them into the nest, sometimes female assists. Eggs hatch in a day. Male guards the nest and the young until they reach the free-swimming stage, which is about a week later. Male has also been observed building more than one bubble nest and moves the eggs from one nest to the other (Ref. 6028).",n
31,Pseudosphromenus dayi,external,nesters,NA,"Male builds bubble nest; both parents guard and tend the nest, returning eggs and larvae that have falling off (Ref. 13371).",n
32,Sphaerichthys acrostoma,external,external brooders,NA,Female mouth brooder. ,y
33,Sphaerichthys osphromenoides,external,external brooders,NA,Lays 20-40 eggs. Female incubates eggs in mouth for 2 weeks.,y
34,Sphaerichthys selatanensis,external,external brooders,NA,Male mouth brooder. ,y
35,Trichogaster chuna,external,nesters,NA,Male guards the bubble-nest.,n
36,Trichogaster fasciata,external,nesters,NA,Male defends the bubble-nest. Lays 500-600 eggs.,n
37,Trichogaster labiosa,external,nesters,NA,Builds bubble-nest. Lays 500-600 eggs.,n
38,Trichogaster lalius,external,nesters,paternal,"Male guards the floating bubble-nest where the eggs are laid, about 600 in number. Hatching takes place in 12 to 24 hours while the male parent continues to protect the nest.  In about three days, the developing larvae become free-swimming and leave the nest.  In an aquarium setting, it is about this same period that the male should be removed from the tank to lessen the probability of him eating the young (Ref. 1672).",n
39,Trichogaster microlepis,external,nesters,NA,Builds bubble nest. Produces 500-1000 eggs.,n
40,Trichopodus leerii,external,nesters,NA,Male guards the bubble nest.,n
41,Trichopodus pectoralis,external,nesters,NA,"Male creates a bubble-nest at the surface. After fertilization, male, with the use of its mouth, collects the eggs and pushes them up into the bubble-nest (Ref. 6459).  Male guards the eggs until hatching (Ref. 9987); both parents care for the young (Ref. 6028).",n
42,Trichopodus trichopterus,external,nesters,NA,"Builds bubble nest, usually at the surface. Male usually gathers the eggs, places them in the nest and guards them until they reach free-swimming stage (Ref. 6028). Male drives the female away (Ref. 1672).",n
43,Trichopsis pumila,external,nesters,NA,Male guards small bubble nest. Produces 100-170 eggs.,n
44,Trichopsis vittata,external,nesters,NA,Builds a bubble nest.,n
