,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
59,Andinoacara biseriatus,external,clutch tenders,biparental,Spawn up to120 eggs on flat stones; both parents care for eggs and larvae (Ref. 40602).,n
60,Andinoacara coeruleopunctatus,external,clutch tenders,biparental,An open bottom spawner which produces hundreds of eggs. Both parents care for their eggs until the fry are a week into free-swimming (Ref. 12251).,n
61,Andinoacara latifrons,external,clutch tenders,biparental,Spawn up to 800 oval eggs of 1.2 mm diameter on flat substrate; both parents defend eggs and larvae (Ref. 40602).,n
62,Andinoacara pulcher,external,clutch tenders,biparental,"In captivity, both male and female clean a rock which will be the spawning area. Eggs are laid on the rock by the female and fertilized by the male. Both male and female guard the eggs, which hatch in 2 to 5 days, and continue to look after the fry for some weeks (Ref. 7020). In cases of danger, the male protects its young by placing them inside its mouth (Ref. 26543).",n
63,Andinoacara rivulatus,external,clutch tenders,biparental,Deposit up to 600 eggs on hard substrate: the female cares for the eggs and larvae and the male defends the territory (Ref. 40602).,n
64,Andinoacara sapayensis,external,clutch tenders,paternal,About 400 eggs. Male defends the territory (Ref. 2060).,n
65,Andinoacara stalsbergi,external,clutch tenders,biparental,Data based on aquarium observations (Ref. 82770).,n
66,Anomalochromis thomasi,external,clutch tenders,NA,NA,n
67,Apistogramma acrensis,external,NA,NA,NA,?
68,Apistogramma agassizii,external,clutch tenders,maternal,"Produces up to 150 eggs. Eggs are attached to the ceiling of caves, female cares for eggs and larvae. (Ref. 1672).",n
69,Apistogramma alacrina,external,NA,NA,NA,?
70,Apistogramma amoena,external,nesters,maternal,"Male guards a relatively large territory, within this area a number of females occupy smaller territories. Male courts and mates with each female. Females lay eggs on the roof of the cave and tend them. Eggs hatch in 3 to 4 days and the fry are guarded for a time by the females (Ref. 7020).",n
71,Apistogramma angayuara,external,NA,NA,NA,?
72,Apistogramma arua,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
73,Apistogramma atahualpa,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref 47893).",n
74,Apistogramma baenschi,external,NA,NA,NA,?
75,Apistogramma bitaeniata,external,clutch tenders,maternal,"Produces 40-60 eggs. All <i>Apistogramma</i> species build caves for spawning, the eggs are attached to the ceiling. Female tends the clutch (Ref. 2060).",n
76,Apistogramma borellii,external,clutch tenders,maternal,"Produces 50-70 eggs. The eggs are attached to the ceiling of caves, female cares for eggs and larvae. (Ref. 1672).",n
77,Apistogramma brevis,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
78,Apistogramma cacatuoides,external,clutch tenders,maternal,"Produces up to 80 eggs. Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
79,Apistogramma caetei,external,clutch tenders,maternal,Max. 200 eggs are deposited on the cave ceiling. Female tends the clutch (Ref. 2060). Is a harem spawner when the opportunity arises (Ref. 12251).,n
80,Apistogramma cinilabra,NA,NA,biparental,NA,?
81,Apistogramma commbrae,external,clutch tenders,biparental,"Max. 80 eggs are deposited on the cave ceiling. Female clutch tender, but male often takes part in caring for eggs and larvae (Ref. 47893).",n
82,Apistogramma cruzi,external,clutch tenders,maternal,"Eggs are attached to the roof of caves, female cares for eggs and larvae (Ref. 47893).",n
83,Apistogramma diplotaenia,external,clutch tenders,maternal,"Eggs are attached to the roof of caves, female cares for eggs and larvae (Ref. 47893).",n
84,Apistogramma elizabethae,external,clutch tenders,maternal,"Eggs are attached to the roof of caves, female cares for eggs and larvae (Ref. 47893).",n
85,Apistogramma eremnopyge,external,NA,NA,NA,?
86,Apistogramma eunotus,external,clutch tenders,maternal,"100-150 eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
87,Apistogramma geisleri,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
88,Apistogramma gephyra,external,clutch tenders,maternal,"Max. 200 eggs, female tends the clutch(Ref. 2060).  Eggs are attached to the ceiling of caves (Ref. 47893).",n
89,Apistogramma gibbiceps,external,clutch tenders,maternal,"A good pair produces 250 eggs every six weeks (Ref. 12251). Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
90,Apistogramma gossei,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
91,Apistogramma guttata,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
92,Apistogramma hippolytae,external,nesters,maternal,"These fish practice harem breeding when the females outnumber the available males (Ref. 12251). About 200 eggs, female tends the clutch (Ref. 2060).",n
93,Apistogramma hoignei,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
94,Apistogramma hongsloi,external,nesters,maternal,"About 60-90 eggs, female tends the clutch (Ref. 47893). The eggs are attached to the ceiling of caves (Ref. 47893).",n
95,Apistogramma huascar,external,NA,NA,NA,?
96,Apistogramma inconspicua,external,clutch tenders,biparental,"Eggs are attached to the ceiling of caves (Ref. 47893).  Female clutch tender, but male often takes part in caring for eggs and larvae (Ref. 47893).",n
97,Apistogramma iniridae,external,nesters,maternal,Female deposits 80-120 eggs at the cave ceiling and tends the clutch (Ref. 2060).,n
98,Apistogramma inornata,external,NA,NA,NA,?
99,Apistogramma juruensis,external,clutch tenders,maternal,"Sexual maturity is reached after 3-4 months. Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
100,Apistogramma linkei,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves (Ref. 47893).  Female clutch tender, male often takes part in caring for eggs and larvae (Ref. 47893).",n
101,Apistogramma luelingi,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
102,Apistogramma macmasteri,external,clutch tenders,maternal,"Produces 60-120 eggs. The eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893). Like other <i>Apistogramma</i>, this species may participate in harem spawning where the male services more than one female in his secret spawning site which may either be a cave or thick vegetation (Ref. 12251).",n
103,Apistogramma martini,external,NA,NA,NA,?
104,Apistogramma meinkeni,external,clutch tenders,maternal,"30-50 eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
105,Apistogramma mendezi,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
106,Apistogramma moae,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
107,Apistogramma nijsseni,external,nesters,biparental,Female guards eggs in nest; male and female guard larvae (Ref. 42573).,n
108,Apistogramma norberti,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
109,Apistogramma ortmanni,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
110,Apistogramma panduro,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
111,Apistogramma pantalone,external,NA,NA,NA,?
112,Apistogramma paucisquamis,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
113,Apistogramma paulmuelleri,NA,nesters,maternal,NA,n
114,Apistogramma payaminonis,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
115,Apistogramma personata,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
116,Apistogramma pertensis,external,clutch tenders,maternal,Female deposits about 120 eggs at the cave ceiling and tends the clutch (Ref. 2060).,n
117,Apistogramma piauiensis,external,clutch tenders,maternal,"Eggs are attached tot the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
118,Apistogramma pleurotaenia,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
119,Apistogramma pulchra,external,clutch tenders,maternal,"The males barely reach 5 cm, while the females are barely 2.5 cm in length. Breeding males are very colorful and have extended fin filaments while the female's fins are rounded (Ref. 12965). Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
120,Apistogramma regani,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
121,Apistogramma resticulosa,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
122,Apistogramma rositae,external,NA,NA,NA,?
123,Apistogramma rubrolineata,external,NA,NA,NA,?
124,Apistogramma rupununi,external,clutch tenders,NA,The males are not very colorful but the females are bright yellow during breeding season (Ref. 12251). About 200 eggs (Ref. 47893).,n
125,Apistogramma salpinction,external,NA,NA,NA,?
126,Apistogramma similis,external,NA,NA,NA,?
127,Apistogramma staecki,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
128,Apistogramma steindachneri,external,clutch tenders,paternal,One male has a harem of several females; 60-120 eggs are laid in caves; male defends all nesting sites (Ref. 13371).,n
129,Apistogramma taeniata,external,NA,NA,NA,?
130,Apistogramma trifasciata,external,clutch tenders,biparental,"Harem family, usually 1 male and 3 females. Lays up to 100 eggs in caves. Both sexes defend eggs and larvae (Ref. 1672).",n
131,Apistogramma tucurui,external,NA,NA,NA,?
132,Apistogramma uaupesi,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
133,Apistogramma urteagai,external,clutch tenders,maternal,"Eggs are attached to the ceiling of caves, female cares for eggs and larvae (Ref. 47893).",n
134,Apistogramma velifera,external,NA,NA,NA,?
135,Apistogramma viejita,external,clutch tenders,maternal,"Maximum of 100 eggs, female tends the clutch. The eggs are attached to the ceiling of caves (Ref. 47893).  Males practice harem spawning when there is an excess of females around (Ref. 12251).",n
136,Apistogramma wapisana,external,NA,NA,NA,?
137,Apistogrammoides pucallpaensis,external,clutch tenders,maternal,"About 80 eggs are attached to the ceiling of caves, female tends the clutch (Ref. 2060).",n
138,Archocentrus centrarchus,external,NA,NA,NA,?
139,Archocentrus multispinosus,external,clutch tenders,maternal,"Female tends the clutch. The larvae were attached to aquatic swimming plants because most oxygen is near the surface of the pool. Later female looks after the young, male defends the territory. This updates previous information from Ref. 1672.",n
140,Archocentrus spinosissimus,external,NA,NA,NA,?
141,Aristochromis christyi,external,NA,NA,NA,?
142,Astatoreochromis alluaudi,in mouth,external brooders,NA,Assumed to be a mouth brooder. Replace ASAP.,Y
143,Astatoreochromis straeleni,external,NA,NA,NA,?
144,Astatoreochromis vanderhorsti,external,NA,NA,NA,?
145,Astatotilapia bloyeti,external,external brooders,NA,Mouthbrooding by females.,Y
146,Astatotilapia burtoni,external,external brooders,NA,Mouthbrooding by females.,Y
147,Astatotilapia calliptera,external,external brooders,maternal,"Female lays batches of eggs on a substratum which the male begins to inseminate. Female collects the eggs almost immediately after laying a batch and incubates eggs in her mouth for 12-14 days at 26å¡C, releasing the young after which. Parent guards the young for 5-7 days, keeping them into her mouth when approached by predators or divers.  ",Y
148,Astatotilapia desfontainii,external,external brooders,NA,Mouthbrooding by females.,Y
149,Astatotilapia flaviijosephi,external,external brooders,maternal,Mouthbrooding by females (Ref. 2059).,Y
150,Astatotilapia stappersii,external,external brooders,NA,Mouthbrooding by females.,y
151,Astatotilapia swynnertoni,external,external brooders,NA,Mouthbrooding by females.,y
152,Astatotilapia tweddlei,external,external brooders,NA,Mouthbrooding by females.,y
153,Astronotus crassipinnis,external,NA,NA,NA,n
154,Astronotus ocellatus,external,clutch tenders,biparental,"In captivity, both male and female clean a suitable spawning site - often a flat rock , or branches, or in a circular nest excavated in shallow water (Ref. 44091). Eggs (usually numbering in the thousands, Ref. 44091) are deposited and are guarded by both parents. Egg hatch in 3 or 4 days and parent move the fry to a shallow pit in the sand where they remain for 6 or 7 days (Ref. 7020).   ",n
155,Aulonocara aquilonium,external,NA,NA,NA,?
156,Aulonocara auditor,external,NA,NA,NA,?
157,Aulonocara baenschi,in mouth,external brooders,maternal,Female mouthbrooder (Ref. 2060).,y
158,Aulonocara brevinidus,external,NA,NA,NA,?
159,Aulonocara brevirostre,external,NA,NA,NA,?
160,Aulonocara ethelwynnae,external,NA,NA,NA,?
161,Aulonocara gertrudae,external,external brooders,NA,"Territorial males either dig crater nests, defend a rocky cave (north of Ruhuhu), or dig a spawning pit against a rock. Mouthbrooder.",y
162,Aulonocara guentheri,external,NA,NA,NA,?
163,Aulonocara hansbaenschi,in mouth,external brooders,NA,NA,y
164,Aulonocara hueseri,external,NA,NA,NA,n
165,Aulonocara jacobfreibergi,in mouth,external brooders,NA,Produces up to 50 eggs.,y
166,Aulonocara kandeensis,external,NA,NA,NA,?
167,Aulonocara koningsi,external,NA,NA,NA,?
168,Aulonocara korneliae,external,NA,NA,NA,?
169,Aulonocara maylandi,in mouth,external brooders,maternal,Female mouth brooder (Ref. 2060). Maximum number of 50 eggs (Ref. 2060).,y
170,Aulonocara nyassae,external,NA,NA,NA,?
171,Aulonocara rostratum,external,NA,NA,NA,?
172,Aulonocara saulosi,external,NA,NA,NA,?
173,Aulonocara steveni,external,NA,NA,NA,?
174,Aulonocara stonemani,external,NA,NA,NA,?
175,Aulonocara stuartgranti,in mouth,external brooders,NA,NA,?
176,Aulonocara trematocephalum,external,NA,NA,NA,?
177,Aulonocranus dewindti,external,external brooders,maternal,Eggs from the cleavage phase up to larvae of around 1.63 cm TL are mouthbrooded by female parents with size ranging from 7.0 to 9.0 cm SL (Ref. 86760).,y
178,Australoheros charrua,external,NA,NA,NA,?
179,Australoheros facetus,external,clutch tenders,biparental,"This species is an easy open spawner that lays its eggs on a stone or piece of wood. Both parents care for the eggs and fry (Ref. 12251).  In Europe where it has invaded native drainages, spawns when temperature rises above 28-30å¡C.  Forms pairs during spawning and both sexes are territorial.  Females deposits eggs on exposed hard surfaces such as stones or wood. Both parent guard larvae and juveniles for 1-3 weeks (Ref. 59043).",n
180,Australoheros forquilha,external,NA,NA,NA,?
181,Australoheros guarani,external,NA,NA,NA,?
182,Australoheros kaaygua,external,NA,NA,NA,?
183,Australoheros minuano,external,NA,NA,NA,?
184,Australoheros scitulus,external,NA,NA,NA,?
185,Australoheros tembe,external,NA,NA,NA,?
186,Baileychromis centropomoides,external,NA,NA,NA,?
187,Bathybates fasciatus,external,NA,NA,NA,?
188,Bathybates ferox,external,NA,NA,NA,?
189,Bathybates graueri,external,NA,NA,NA,?
190,Bathybates hornii,external,NA,NA,NA,?
191,Bathybates leo,external,NA,NA,NA,?
192,Bathybates minor,external,NA,NA,NA,?
193,Bathybates vittatus,external,NA,NA,NA,?
194,Benitochromis batesii,external,external brooders,maternal,"Female mouthbrooders, maximum number of 100 eggs (Ref. 2060).",y
195,Benitochromis conjunctus,external,NA,NA,NA,?
196,Benitochromis finleyi,external,external brooders,maternal,Female mouthbrooders (Ref. 26489).,y
197,Benitochromis nigrodorsalis,external,external brooders,biparental,Both parents participate in mouthbrooding (Ref. 42576).,y
198,Benitochromis riomuniensis,external,NA,NA,NA,?
199,Benitochromis ufermanni,external,NA,NA,NA,?
200,Benthochromis horii,external,NA,NA,NA,?
201,Benthochromis melanoides,external,external brooders,NA,Mouthbrooder (Ref. 74417).,y
202,Benthochromis tricoti,external,external brooders,NA,Mouthbrooder (Ref. 74417).,y
203,Biotodoma cupido,external,clutch tenders,NA,NA,n
204,Biotodoma wavrini,external,NA,NA,NA,?
205,Biotoecus dicentrarchus,external,clutch tenders,maternal,Eggs are deposited at the ceiling of a cave; the female tends to eggs and yolk-sac larvae; both parents care for the free-swimming young (Ref. 42051).,n
206,Biotoecus opercularis,external,NA,NA,NA,n
207,Boulengerochromis microlepis,external,nesters,NA,"Deposits eggs in abandoned nests of other cichlids, in between stones, or in the sand, if no nests are available (Ref. 7343).",n
208,Buccochromis atritaeniatus,external,NA,NA,NA,?
209,Buccochromis heterotaenia,external,NA,NA,NA,?
210,Buccochromis lepturus,external,NA,NA,NA,?
211,Buccochromis nototaenia,external,NA,NA,NA,?
212,Buccochromis oculatus,external,NA,NA,NA,?
213,Buccochromis rhoadesii,external,NA,NA,NA,?
214,Buccochromis spectabilis,external,NA,NA,NA,?
215,Bujurquina apoparuana,external,external brooders,biparental,Larvae are carried in the mouth by both parents (Ref. 40602).,y
216,Bujurquina cordemadi,external,NA,NA,NA,?
217,Bujurquina eurhinus,external,NA,NA,NA,?
218,Bujurquina hophrys,external,NA,NA,NA,?
219,Bujurquina huallagae,external,NA,NA,NA,?
220,Bujurquina labiosa,external,NA,NA,NA,?
221,Bujurquina mariae,external,external brooders,NA,"Produces 100-400 eggs. After 2 days, one of the parents incubates eggs in the mouth (Ref. 1672).",y
222,Bujurquina megalospilus,external,NA,NA,NA,?
223,Bujurquina moriorum,external,clutch tenders,biparental,Both parents guard eggs and larvae (Ref. 40602).,n
224,Bujurquina oenolaemus,external,NA,NA,NA,?
225,Bujurquina ortegai,external,NA,NA,NA,?
226,Bujurquina peregrinabunda,external,NA,NA,NA,?
227,Bujurquina robusta,external,clutch tenders,biparental,"Eggs are deposited on fallen leaves, which may be dragged around. Both parents guard eggs and larvae (Ref. 40602).",n
228,Bujurquina syspilus,external,external brooders,biparental,Eggs are deposited on leaves and guarded by both parents; larvae are taken into the mouth (Ref. 40602).,y
229,Bujurquina tambopatae,external,external brooders,NA,Larvae and eggs have been found in the mouth of these fishes (Ref. 40602).,y
230,Bujurquina vittata,external,external brooders,biparental,"Spawn up to 400 eggs on fallen leaves, which may be pulled around, possibly in reaction to predators or water level changes. Both parents defend the eggs and take the yolk-sac larvae in their mouth (Ref. 40602).",y
231,Bujurquina zamorensis,external,NA,NA,NA,?
232,Callochromis macrops,external,external brooders,maternal,Eggs from the cleavage phase and larvae of up to 1.38 cm TL are mouthbrooded by female parents ranging from 8.6 to 10.0 cm SL (Ref. 86760).,y
233,Callochromis melanostigma,external,NA,NA,NA,?
234,Callochromis pleurospilus,external,NA,NA,NA,?
235,Caprichromis liemi,external,NA,NA,NA,?
236,Caprichromis orthognathus,external,NA,NA,NA,?
237,Caquetaia kraussii,external,clutch tenders,NA,NA,n
238,Caquetaia myersi,external,clutch tenders,NA,Over 1000 eggs are deposited on open substrate (e.g. stones) and guarded by both parents. Larvae are transferred to a depression in the sand created by the female (Ref. 40602).,n
239,Caquetaia spectabilis,external,clutch tenders,biparental,Eggs are deposited on open substrate and defended by both parents. Larvae are transferred to various hiding places by the female (Ref. 40602).,n
240,Caquetaia umbrifera,external,clutch tenders,maternal,"Deposit several thousand eggs on open, preferably horizontal substrate; male defends territory and female guards eggs; larvae are guarded by the female (Ref. 40602).Females reach sexual maturity at 10 cm, males at 15 cm (Ref. 2060).",n
241,Cardiopharynx schoutedeni,external,NA,NA,NA,?
242,Chaetobranchopsis australis,external,NA,NA,NA,?
243,Chaetobranchopsis orbicularis,external,NA,NA,NA,?
244,Chaetobranchus flavescens,external,NA,NA,NA,?
245,Chaetobranchus semifasciatus,external,NA,NA,NA,?
246,Chalinochromis brichardi,external,nesters,NA,Maximum number of eggs is 120. Cave brooder (Ref. 2060).,n
247,Chalinochromis popelini,external,NA,NA,NA,?
248,Champsochromis caeruleus,external,NA,NA,NA,?
249,Champsochromis spilorhynchus,external,external brooders,maternal,The female carries over 100 young in her mouth (Ref. 2060).,y
250,Cheilochromis euchilus,external,external brooders,maternal,Female takes eggs in mouth (Ref. 1672).,y
251,Chetia brevicauda,external,NA,NA,NA,?
252,Chetia brevis,external,external brooders,maternal,Female incubates eggs and larvae in the mouth (Ref. 27553).,y
253,Chetia flaviventris,external,external brooders,maternal,The female mouth broods the eggs and larvae (Ref. 7248).,y
254,Chetia gracilis,external,NA,NA,NA,?
255,Chetia mola,external,NA,NA,NA,?
256,Chetia welwitschi,external,NA,NA,NA,?
257,Chilochromis duponti,external,NA,NA,NA,?
258,Chilotilapia rhoadesii,in mouth,external brooders,NA,NA,y
259,Chromidotilapia cavalliensis,external,external brooders,NA,Ovophilic male mouthbrooder; both parents take care of the young after hatching (Ref. 12468).,y
260,Chromidotilapia guntheri,external,external brooders,biparental,Male mouthbrooder; both parents take care of the young after hatching (Ref. 47115). This corrects previous information from Ref. 26489.,y
261,Chromidotilapia kingsleyae,external,external brooders,NA,Female mouthbrooders.,y
262,Chromidotilapia linkei,external,external brooders,NA,"Female mouthbrooders, max. 150 eggs (Ref. 2060).",y
263,Chromidotilapia melaniae,NA,NA,NA,"In aquaria, a monogamous, pair-bonding, biparental ovophilic mouth brooder.  Eggs are deposited on hard substrate or on leaves and incubated by the female for the first 2 or 3 days; afterwhich incubation may be done by both male and female (but mainly by female) (Ref. 50577).",y
264,Chromidotilapia mrac,external,external brooders,maternal,"<i>Chromidotilapia mrac</i> is a monogamous, pair bounding female larvophilic mouthbrooder, which spawns in caves (Ref. 47112). Eggs are incubated by the female alone for 3 days, after hatching the larvae are carried by the female for 9-10 days in the buccal cavity (Ref. 47112). When free swimming the juveniles are protected by the adults for a duration of about 4-5 weeks (Ref. 47112).",y
265,Chromidotilapia nana,NA,NA,NA,"In aquaria, a monogamous, pair-bonding, biparental ovophilic mouth brooder.  Eggs are deposited on hard substrate or on leaves and incubated by the female for the first 2 or 3 days; afterwhich incubation may be done by both male and female (but mainly by female) (Ref. 50577).",y
266,Chromidotilapia schoutedeni,external,external brooders,NA,Female mouthbrooders.,y
267,Cichla monoculus,external,nesters,NA,"Oviparous (Ref. 205). May spawn 3-4 times a year in batches of 50 to 100 eggs, each spawning lasting 2-3 hours (Ref. 50805).",n
268,Cichla ocellaris,external,clutch tenders,biparental,"Spawning, with rare exceptions, takes place on a flat, horizontal surface which is either bare to begin with, or cleared of algae or other vegetation during the spawning activities. The female moves forward laying a single row of eggs and the male follows exuding sperm over each row. Once the eggs have hatched, the parents transport the larvae in their mouths to one of the depression nests.",n
269,Cichla temensis,external,nesters,NA,Oviparous (Ref. 205).,n
270,Cichlasoma amazonarum,external,clutch tenders,NA,NA,n
271,Cichlasoma araguaiense,external,clutch tenders,NA,NA,n
272,Cichlasoma atromaculatum,external,clutch tenders,NA,"Up to 3000 eggs are deposited on open substratum, such as a flat stone.  Mainly the female guards eggs and young.",n
273,Cichlasoma beani,external,clutch tenders,NA,Both parents defend eggs and larvae (Ref. 40602).,n
274,Cichlasoma bimaculatum,external,clutch tenders,NA,NA,n
275,Cichlasoma boliviense,external,clutch tenders,NA,NA,n
276,Cichlasoma dimerus,external,clutch tenders,NA,NA,n
